id,lon,lat
123,10.9517069,44.6299091
124,10.9513731,44.6302213
125,10.9512646,44.6302701
126,10.9510877,44.6302957
127,10.9512409,44.6295903
128,10.951405,44.6295923
129,10.9527071,44.6295149
130,10.9528978,44.6292622
131,10.9529222,44.6291039
132,10.9194427,44.6491743
133,10.9422104,44.6229193
134,10.9448854,44.6218347
135,10.9467798,44.6294255
136,10.9468892,44.6292873
137,10.9479976,44.6277341
138,10.9412722,44.629023
139,10.9446767,44.6288785
140,10.9438755,44.6291892
141,10.9387788,44.6278878
142,10.9378801,44.6333929
143,10.93804,44.6274578
144,10.9331596,44.6371576
145,10.9311358,44.6393822
146,10.9310649,44.6394586
147,10.9304713,44.6396597
148,10.9256914,44.6415749
149,10.9399795,44.6276366
150,10.9373045,44.6269073
151,10.9359833,44.6266979
152,10.9353257,44.6266873
153,10.9348599,44.6266419
154,10.9345081,44.6265356
155,10.9339247,44.6261105
156,10.9384993,44.6276899
157,10.9385037,44.6280371
158,10.9378394,44.6280985
159,10.9378303,44.6291294
160,10.9386281,44.6299056
161,10.9294124,44.6346418
162,10.9262133,44.6344951
163,10.9250915,44.6344419
164,10.9247062,44.634372
165,10.924156,44.6341722
166,10.9262992,44.6336428
167,10.9262255,44.632647
168,10.9262943,44.6319148
169,10.926895,44.6292216
170,10.9261568,44.6350133
171,10.9260916,44.6356097
172,10.9260566,44.6362453
173,10.9259006,44.6374869
174,10.9269966,44.636004
175,10.9282314,44.6375251
176,10.9283937,44.6345818
177,10.9287459,44.6352659
178,10.9270304,44.6335113
179,10.9306212,44.6348499
180,10.930361,44.6349863
181,10.9511963,44.6249117
182,10.9492648,44.6243925
183,10.9505706,44.6249264
184,10.9510192,44.6249571
185,10.9282147,44.6425704
186,10.9292523,44.6421483
187,10.9210743,44.6428683
188,10.9312015,44.6474962
189,10.9322858,44.648533
190,10.9240915,44.6496845
191,10.9242296,44.6492742
192,10.9287571,44.6417388
193,10.9237009,44.6419643
194,10.929997,44.6431105
195,10.9293755,44.6433566
196,10.9290368,44.6434483
197,10.9339136,44.650124
198,10.934359,44.6495604
199,10.9345372,44.6491364
200,10.9344341,44.6488559
201,10.9341128,44.6484195
202,10.9287599,44.6414826
203,10.9285355,44.6412924
204,10.9282337,44.6411751
205,10.9276494,44.641067
206,10.9270915,44.6411367
207,10.926598,44.6412922
208,10.9218629,44.6426294
209,10.9204164,44.6430627
210,10.9214633,44.6437079
211,10.9189411,44.6429104
212,10.9201011,44.6486278
213,10.9199807,44.645812
214,10.9199631,44.6437254
215,10.920191,44.6433003
216,10.9336006,44.6505095
217,10.9333774,44.6508922
218,10.9332824,44.6512499
219,10.9330191,44.6516388
220,10.9329226,44.6517343
221,10.9334899,44.6562869
222,10.9345789,44.6553969
223,10.9345777,44.6551513
224,10.9345603,44.6542234
225,10.9343964,44.65393
226,10.9336524,44.653086
227,10.9329999,44.6524904
228,10.9346549,44.6554072
229,10.9348265,44.6553147
230,10.9348292,44.6552328
231,10.9325489,44.652534
232,10.9317447,44.6530557
233,10.926275,44.6506642
234,10.9270126,44.6517424
235,10.9278828,44.653028
236,10.928206,44.6512665
237,10.9304817,44.650407
238,10.9323904,44.6521369
239,10.9322852,44.6520641
240,10.9296931,44.6494309
241,10.9298475,44.649377
242,10.9306207,44.6503545
243,10.9310639,44.6508194
244,10.9275488,44.6502091
245,10.9201042,44.6488886
246,10.9214603,44.649503
247,10.9224015,44.649752
248,10.9240272,44.6500383
249,10.9249307,44.6502876
250,10.9252104,44.6510129
251,10.925834,44.6526267
252,10.9289458,44.6496994
253,10.915343,44.6418372
254,10.9174214,44.6479332
255,10.9172198,44.6468748
256,10.9168165,44.6444386
257,10.9164119,44.6432727
258,10.9199378,44.644372
259,10.9195406,44.64868
260,10.9192347,44.6480993
