id,lon,lat
123647344,10.8681688,44.6509978
123647346,10.8684334,44.6510091
123647347,10.8687906,44.6508965
123647349,10.8690347,44.6506846
123647355,10.8709992,44.6505859
123647776,10.8715537,44.6511164
123647778,10.8715761,44.6509577
123647779,10.8714856,44.6507882
123647782,10.8701704,44.6504519
123647783,10.8697252,44.6504136
123647784,10.8693549,44.6504922
123647786,10.8688453,44.6509471
123647788,10.8688034,44.6511014
123652789,10.932259,44.6042093
124040772,10.9375183,44.6350559
124045789,10.9453088,44.6340466
124046426,10.9441601,44.6290854
124047926,10.9511876,44.6359524
124061806,10.949601,44.6276132
124061815,10.9514689,44.6293012
124061817,10.9515366,44.6296334
124063214,10.9516262,44.6296832
124063217,10.9516798,44.6297424
124063218,10.9517069,44.6299091
124063222,10.9513731,44.6302213
124063223,10.9512646,44.6302701
124063225,10.9510877,44.6302957
124063241,10.9512409,44.6295903
124063242,10.951405,44.6295923
124064510,10.9527071,44.6295149
124064512,10.9528978,44.6292622
124064514,10.9529222,44.6291039
132112232,10.9194427,44.6491743
132453220,10.9422104,44.6229193
132453225,10.9448854,44.6218347
144773598,10.9467798,44.6294255
144773600,10.9468892,44.6292873
144773602,10.9479976,44.6277341
144791575,10.9412722,44.629023
144792560,10.9446767,44.6288785
144793963,10.9438755,44.6291892
144799299,10.9387788,44.6278878
144800720,10.9378801,44.6333929
144804411,10.93804,44.6274578
144807110,10.9331596,44.6371576
144807114,10.9311358,44.6393822
144807116,10.9310649,44.6394586
144807119,10.9304713,44.6396597
144808532,10.9256914,44.6415749
250841341,10.9399795,44.6276366
250841344,10.9373045,44.6269073
250841345,10.9359833,44.6266979
250841346,10.9353257,44.6266873
250841347,10.9348599,44.6266419
250841348,10.9345081,44.6265356
250841349,10.9339247,44.6261105
250841353,10.9384993,44.6276899
250841354,10.9385037,44.6280371
250841355,10.9378394,44.6280985
250841357,10.9378303,44.6291294
250841358,10.9386281,44.6299056
250843395,10.9294124,44.6346418
250843398,10.9262133,44.6344951
250843399,10.9250915,44.6344419
250843400,10.9247062,44.634372
250843401,10.924156,44.6341722
250843403,10.9262992,44.6336428
250843404,10.9262255,44.632647
250843405,10.9262943,44.6319148
250843407,10.926895,44.6292216
250843408,10.9261568,44.6350133
250843409,10.9260916,44.6356097
250843410,10.9260566,44.6362453
250843411,10.9259006,44.6374869
250843413,10.9269966,44.636004
250843414,10.9282314,44.6375251
250843415,10.9283937,44.6345818
250843416,10.9287459,44.6352659
250843419,10.9270304,44.6335113
250843421,10.9306212,44.6348499
250843422,10.930361,44.6349863
250844943,10.9511963,44.6249117
250844944,10.9492648,44.6243925
250844945,10.9505706,44.6249264
